Title,Author,Average Goodreads Rating,Number of Pages
The White Album,Joan Didion,4.12,224
After Dark,Haruki Murakami,3.73,191
1Q84 (1Q84 #1-3),Haruki Murakami,3.93,925
Norwegian Wood,Haruki Murakami,4.03,296
My Policeman,Bethan Roberts,4.06,352
On Bowie,Rob Sheffield,3.91,197
Talking to Girls about Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Rob Sheffield,3.58,274
The Substitution Order,Martin   Clark,3.90,352
State of Terror,Hillary Rodham Clinton,4.14,495
Space Opera,Catherynne M. Valente,3.51,294
Several People Are Typing,Calvin Kasulke,3.69,256
"Love Is a Mix Tape: Life and Loss, One Song at a Time",Rob Sheffield,3.85,224
The Survivors,Jane Harper,3.77,384
Open Water,Caleb Azumah Nelson,4.14,145
Uncanny Valley: A Memoir,Anna Wiener,3.66,281
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,4.38,538
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row",James Patterson,3.85,400
My Life as a Goddess: A Memoir through (Un)Popular Culture,Guy Branum,4.01,288
The Perfect Predator: A Scientist's Race to Save Her Husband from a Deadly Superbug: A Memoir,Steffanie Strathdee,4.40,337
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,4.12,352
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,4.43,519
Prognosis: A Memoir of My Brain,Sarah Vallance,3.89,284
Me,Elton John,4.31,374
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel Maddow,4.35,406
Embrace Your Weird: Face Your Fears and Unleash Creativity,Felicia Day,3.96,272
The Witches Are Coming,Lindy West,4.14,260
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,4.38,415
Stay Sexy & Don't Get Murdered: The Definitive How-To Guide,Karen Kilgariff,4.09,300
No Filter: The Inside Story of Instagram,Sarah Frier,4.13,352
Greenlights,Matthew McConaughey,4.21,308
"Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life",Anne Bogel,3.90,224
"Clanlands: Whisky, Warfare, and a Scottish Adventure Like No Other",Sam Heughan,4.09,297
Robin,Dave Itzkoff,4.07,544
Becoming,Michelle Obama,4.49,599
The Monk of Mokha,Dave Eggers,4.06,327
God Save Texas: A Journey Into the Soul of the Lone Star State,Lawrence Wright,4.00,368
"The Space Barons: Elon Musk, Jeff Bezos, and the Quest to Colonize the Cosmos",Christian Davenport,4.13,320
Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,Angela Saini,4.07,200
The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,4.14,479
My Lovely Wife in the Psych Ward,Mark Lukach,4.09,305
Get Well Soon: History's Worst Plagues and the Heroes Who Fought Them,Jennifer   Wright,4.25,336
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,3.87,257
A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,4.12,305
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nathalia Holt,3.88,338
The Romanovs: 1613-1918,Simon Sebag Montefiore,3.96,784
Hidden Figures,Margot Lee Shetterly,3.96,349
M Train,Patti Smith,3.99,256
Girl in a Band,Kim Gordon,3.65,273
"The Witches: Salem, 1692",Stacy Schiff,3.24,498
"A Kim Jong-Il Production: The Extraordinary True Story of a Kidnapped Filmmaker, His Star Actress, and a Young Dictator's Rise to Power",Paul   Fischer,4.18,353
On the Move: A Life,Oliver Sacks,3.98,397
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,4.21,368
"The World's Strongest Librarian: A Memoir of Tourette's, Faith, Strength, and the Power of Family",Josh Hanagarne,3.80,291
The Nineties,Chuck Klosterman,3.95,370
Extreme North: A Cultural History,Bernd Brunner,3.24,256
Funny Farm: My Unexpected Life with 600 Rescue Animals,Laurie Zaleski,4.31,256
Secrets of the Sprakkar: Iceland's Extraordinary Women and How They Are Changing the World,Eliza  Reid,3.91,288
It Ended Badly: Thirteen of the Worst Breakups in History,Jennifer   Wright,3.75,240
Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,4.43,352
One Night in Miami,Kemp Powers,4.15,80
The Year of Living Danishly: My Twelve Months Unearthing the Secrets of the World's Happiest Country,Helen Russell,3.97,304
The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,Michael Booth,3.86,416
Watching Neighbours Twice a Day...: How ’90s TV (Almost) Prepared Me For Life,Josh Widdicombe,3.96,304
Dent's Modern Tribes: The Secret Languages of Britain,Susie Dent,3.60,337
Swiss Watching: Inside Europe's Landlocked Island,Diccon Bewes,3.87,310
The Secret Life of Salvador Dalí,Salvador Dalí,4.10,432
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.39,512
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,498
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.92,608
"The Diary of a Bookseller (Diary of a Bookseller, #1)",Shaun Bythell,3.74,310
The Making of Jane Austen,Devoney Looser,4.01,282
All the Young Men,Ruth Coker Burks,4.52,304
Into the Woods: A Five Act Journey Into Story,John Yorke,4.23,256
Nomadland: Surviving America in the Twenty-First Century,Jessica Bruder,4.04,288
Born to Run,Bruce Springsteen,4.16,528
Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,4.06,327
Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,4.00,277
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,4.07,284
Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals About Death,Caitlin Doughty,4.12,222
Dead Famous: An Unexpected History of Celebrity from Bronze Age to Silver Screen,Greg  Jenner,3.87,416
Crying in H Mart,Michelle Zauner,4.31,256
Cultish: The Language of Fanaticism,Amanda Montell,4.04,310
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.56,535
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.32,536
Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,3.87,336
Come Fly the World: The Jet-Age Story of the Women of Pan Am,Julia  Cooke,3.69,288
The Doctors Blackwell: How Two Pioneering Sisters Brought Medicine to Women and Women to Medicine,Janice P. Nimura,3.63,336
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,4.04,256
My Dark Vanessa,Kate Elizabeth Russell,4.07,373
"Crisis in the Red Zone: The Story of the Deadliest Ebola Outbreak in History, and of the Outbreaks to Come",Richard   Preston,4.41,375
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4.37,411
The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff,4.72,485
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,4.09,285
The Institute,Stephen King,4.20,561
The Starless Sea,Erin Morgenstern,3.85,498
